Element,Radionuclide,Common name,Latin name,Compartment,CR,C_plant,C_soil,Country,Site,K-G class,Contamination,Experiment,Soil depth
Cs,Cs-137,Rice,Oryza sativa,Straw,5.20E-01,9.40E+01,7.50E+00,India,"Experiment field (2), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Straw,5.70E-02,4.00E-01,6.90E+00,India,"Experiment field (3), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Straw,5.30E-02,3.00E-01,5.60E+00,India,"Experiment field (4), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Straw,1.20E-01,1.50E+00,1.20E+01,India,"Hartuga (1), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Straw,4.00E-01,1.20E+01,4.70E+00,India,"Hartuga (2), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Straw,4.90E-01,3.10E+00,6.30E+00,India,"Hartuga (3), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Straw,<2.1E-2,<0.1,4.60E+00,India,"Hartuga (4), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Straw,8.70E-02,7.00E-01,8.00E+00,India,"Kuchegar (1), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Straw,2.10E-01,1.20E+01,8.90E+00,India,"Kuchegar (2), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Straw,2.10E-01,6.00E-01,2.90E+00,India,"Kuchegar (3), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Straw,4.60E-01,1.90E+00,4.10E+00,India,"Kuchegar (4), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Straw,1.30E-01,9.00E-01,7.20E+00,India,"Virje (1), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Straw,2.20E-01,1.10E+01,5.50E+00,India,"Virje (2), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Straw,6.70E-02,8.00E-01,1.20E+01,India,"Virje (3), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Straw,1.40E-01,1.20E+00,8.40E+00,India,"Virje (4), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Roots,4.40E-02,2.00E-01,4.50E+00,India,"Experiment field (1), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Roots,2.60E-02,2.00E-01,7.50E+00,India,"Experiment field (2), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Roots,4.80E-01,3.30E+00,6.90E+00,India,"Experiment field (3), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Roots,4.10E-01,2.30E+00,5.60E+00,India,"Experiment field (4), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Roots,1.90E-01,2.40E+00,1.20E+01,India,"Hartuga (1), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Roots,2.30E-01,1.10E+00,4.70E+00,India,"Hartuga (2), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Roots,7.10E-01,4.50E+00,6.30E+00,India,"Hartuga (3), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Roots,6.50E-01,3.00E+00,4.60E+00,India,"Hartuga (4), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Roots,3.10E-01,2.50E+00,8.00E+00,India,"Kuchegar (1), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Roots,7.50E-01,6.70E+00,8.90E+00,India,"Kuchegar (2), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Roots,1.40E-01,4.00E-01,2.90E+00,India,"Kuchegar (3), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Roots,9.50E-01,3.90E+00,4.10E+00,India,"Kuchegar (4), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Roots,2.60E-01,1.90E+00,7.20E+00,India,"Virje (1), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Roots,5.80E-01,1.30E+01,5.50E+00,India,"Virje (2), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Roots,6.00E-01,7.10E+00,1.20E+01,India,"Virje (3), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Roots,5.90E-01,5.00E+00,8.40E+00,India,"Virje (4), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Ra,Ra-226,Banpu,Terminalia paniculata,Bark,1.40E-01,4.80E+00,3.50E+01,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
Ra,Ra-226,Banpu,Terminalia paniculata,Leaves,9.00E-02,3.00E+00,3.50E+01,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
Ra,Ra-226,Daddala,Careya arborea,Bark,1.30E-01,4.50E+00,3.50E+01,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
Ra,Ra-226,Daddala,Careya arborea,Leaves,1.10E-01,3.80E+00,3.50E+01,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
Ra,Ra-226,Kanagilu,Dillenia pentagyna,Leaves,6.00E-02,2.10E+00,3.50E+01,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
Ra,Ra-226,Ittovu,Clerodendrum viscosum,Stems,1.70E-01,5.90E+00,3.50E+01,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
Ra,Ra-226,Ittovu,Clerodendrum viscosum,Leaves,1.30E-01,4.60E+00,3.50E+01,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
Ra,Ra-226,Marvo,Microcos paniculata,Stems,1.60E-01,5.70E+00,3.50E+01,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
Ra,Ra-226,Marvo,Microcos paniculata,Leaves,1.00E-01,3.60E+00,3.50E+01,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
Ra,Ra-226,Enjir,Calycopteris floribunda,Stems,1.00E-01,3.40E+00,3.50E+01,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
Ra,Ra-226,Hunase huli,Tamarindus indica,Leaves,1.60E-01,5.70E+00,3.50E+01,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
Ra,Ra-226,Mango,Mangifera indica,Leaves,1.00E-01,3.60E+00,3.50E+01,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
Ra,Ra-226,Teak,Tectona grandis,Bark,2.70E-01,9.70E+00,3.50E+01,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
Ra,Ra-226,Teak,Tectona grandis,Leaves,1.20E-01,4.10E+00,3.50E+01,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
Ra,Ra-226,Ashwatha,Ficus religiosa,Leaves,3.60E-01,1.30E+01,3.50E+01,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
Ra,Ra-226,Grass,Themeda triandra,Whole plant,1.90E-01,6.70E+00,3.50E+01,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
Ra,Ra-226,Orchid,Cymbidium aloifolium,Whole plant,8.00E-02,3.00E+00,3.50E+01,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Banpu,Terminalia paniculata,Bark,1.40E+00,2.00E+02,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Banpu,Terminalia paniculata,Leaves,8.30E-01,1.20E+02,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Daddala,Careya arborea,Bark,2.10E+00,3.00E+02,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Daddala,Careya arborea,Leaves,1.30E+00,1.90E+02,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Kanagilu,Dillenia pentagyna,Leaves,4.90E-01,6.90E+01,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Ittovu,Clerodendrum viscosum,Stems,2.30E+00,3.20E+02,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Ittovu,Clerodendrum viscosum,Leaves,1.30E+00,1.90E+02,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Marvo,Microcos paniculata,Stems,2.20E+00,3.10E+02,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Marvo,Microcos paniculata,Leaves,1.50E+00,2.20E+02,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Enjir,Calycopteris floribunda,Stems,1.40E+00,1.90E+02,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Hunase huli,Tamarindus indica,Leaves,1.20E+00,1.70E+02,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Hunase huli,Tamarindus indica,Leaves,7.00E-01,1.00E+02,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Mango,Mangifera indica,Leaves,9.00E-01,1.30E+02,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Teak,Tectona grandis,Bark,1.50E+00,2.10E+02,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Teak,Tectona grandis,Leaves,1.00E+00,1.40E+02,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Ashwatha,Ficus religiosa,Leaves,3.70E+00,5.30E+02,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Bamboo,Bambusa arundinacea,Leaves,1.70E+00,2.40E+02,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Grass,Cyrtococcum oxyphyllum,Whole plant,2.60E+00,3.60E+02,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Grass,Themeda triandra,Whole plant,8.70E-01,1.20E+02,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
K,K-40,Orchid,Cymbidium aloifolium,Whole plant,2.10E-01,3.00E+01,1.40E+02,India,"Uttara Kannada District, Karnataka State",Am,N,F,0-5
Cs,Cs-137,Sorghum,Sorghum bicolor,Seeds,1.30E+01,1.10E+04,8.50E+02,Marshall Islands,Bikini Island (1A),Af,NU,F,0-40
Cs,Cs-137,Sorghum,Sorghum bicolor,Seeds,1.80E+01,2.40E+04,1.30E+03,Marshall Islands,Bikini Island (1D),Af,NU,F,0-40
Cs,Cs-137,Sorghum,Sorghum bicolor,Seeds,3.50E+01,1.80E+04,5.10E+02,Marshall Islands,Bikini Island (1H),Af,NU,F,0-40
Cs,Cs-137,Sorghum,Sorghum bicolor,Seeds,3.70E+01,4.40E+04,1.20E+03,Marshall Islands,Bikini Island (1J),Af,NU,F,0-40
Cs,Cs-137,Sorghum,Sorghum bicolor,Seeds,5.70E+01,1.60E+04,2.80E+02,Marshall Islands,Bikini Island (2B),Af,NU,F,0-40
Cs,Cs-137,Sorghum,Sorghum bicolor,Seeds,6.80E+01,2.60E+04,3.80E+02,Marshall Islands,Bikini Island (2C),Af,NU,F,0-40
Cs,Cs-137,Sorghum,Sorghum bicolor,Seeds,7.10E+01,3.00E+04,4.20E+02,Marshall Islands,Bikini Island (2I),Af,NU,F,0-40
Cs,Cs-137,Sorghum,Sorghum bicolor,Seeds,1.00E+01,8.00E+03,8.10E+02,Marshall Islands,Bikini Island (2L),Af,NU,F,0-40
Cs,Cs-137,"Chinese cabbage, won bok",Brassica pekinensis,Leaves,7.60E+01,2.00E+05,2.60E+03,Marshall Islands,Bikini Island (1C),Af,NU,F,0-20
Cs,Cs-137,"Chinese cabbage, won bok",Brassica pekinensis,Leaves,1.90E+02,2.10E+05,1.10E+03,Marshall Islands,Bikini Island (1E),Af,NU,F,0-20
Cs,Cs-137,"Chinese cabbage, won bok",Brassica pekinensis,Leaves,8.50E+01,2.30E+05,2.70E+03,Marshall Islands,Bikini Island (1I),Af,NU,F,0-20
Cs,Cs-137,"Chinese cabbage, won bok",Brassica pekinensis,Leaves,1.10E+02,1.80E+05,1.70E+03,Marshall Islands,Bikini Island (1L),Af,NU,F,0-20
Cs,Cs-137,"Chinese cabbage, won bok",Brassica pekinensis,Leaves,8.20E+01,9.00E+04,1.10E+03,Marshall Islands,Bikini Island (2A),Af,NU,F,0-20
Cs,Cs-137,"Chinese cabbage, won bok",Brassica pekinensis,Leaves,2.50E+02,2.20E+05,8.80E+02,Marshall Islands,Bikini Island (2D),Af,NU,F,0-20
Cs,Cs-137,"Chinese cabbage, won bok",Brassica pekinensis,Leaves,4.70E+01,6.60E+04,1.40E+03,Marshall Islands,Bikini Island (2G),Af,NU,F,0-20
Cs,Cs-137,"Chinese cabbage, won bok",Brassica pekinensis,Leaves,6.30E+01,1.10E+05,1.80E+03,Marshall Islands,Bikini Island (2K),Af,NU,F,0-20
Cs,Cs-137,Cabbage (kk cross),Brassica oleracea capitata,Leaves,4.90E+01,6.80E+04,1.40E+03,Marshall Islands,Bikini Island (1B),Af,NU,F,0-20
Cs,Cs-137,Cabbage (kk cross),Brassica oleracea capitata,Leaves,4.80E+01,9.60E+04,2.00E+03,Marshall Islands,Bikini Island (1F),Af,NU,F,0-20
Cs,Cs-137,Cabbage (kk cross),Brassica oleracea capitata,Leaves,4.50E+01,4.90E+04,1.10E+03,Marshall Islands,Bikini Island (1G),Af,NU,F,0-20
Cs,Cs-137,Cabbage (kk cross),Brassica oleracea capitata,Leaves,5.30E+01,1.40E+05,2.60E+03,Marshall Islands,Bikini Island (1K),Af,NU,F,0-20
Cs,Cs-137,Cabbage (kk cross),Brassica oleracea capitata,Leaves,9.30E+01,1.50E+05,1.60E+03,Marshall Islands,Bikini Island (2E),Af,NU,F,0-20
Cs,Cs-137,Cabbage (kk cross),Brassica oleracea capitata,Leaves,2.70E+01,7.40E+04,2.70E+03,Marshall Islands,Bikini Island (2F),Af,NU,F,0-20
Cs,Cs-137,Cabbage (kk cross),Brassica oleracea capitata,Leaves,6.80E+01,8.90E+04,1.30E+03,Marshall Islands,Bikini Island (2H),Af,NU,F,0-20
Cs,Cs-137,Cabbage (kk cross),Brassica oleracea capitata,Leaves,6.40E+01,8.30E+04,1.30E+03,Marshall Islands,Bikini Island (2J),Af,NU,F,0-20
Cs,Cs-137,Corn,Zea mays,Ears,4.40E+00,3.70E+03,8.50E+02,Marshall Islands,Bikini Island (1A),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Ears,6.20E+00,8.10E+03,1.30E+03,Marshall Islands,Bikini Island (1D),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Ears,8.80E+00,4.50E+03,5.10E+02,Marshall Islands,Bikini Island (1H),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Ears,4.20E+01,5.00E+04,1.20E+03,Marshall Islands,Bikini Island (1J),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Ears,6.60E+01,2.50E+04,3.80E+02,Marshall Islands,Bikini Island (2C),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Ears,1.10E+01,4.60E+03,4.20E+02,Marshall Islands,Bikini Island (2I),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Ears,1.70E+01,1.40E+04,8.10E+02,Marshall Islands,Bikini Island (2L),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Ears,2.70E+01,1.30E+04,4.70E+02,Marshall Islands,Bikini Island (3D),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Ears,1.60E+01,7.60E+03,4.90E+02,Marshall Islands,Bikini Island (3E),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Ears,1.70E+01,8.50E+03,5.00E+02,Marshall Islands,Bikini Island (3G),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Ears,1.80E+01,1.80E+04,9.60E+02,Marshall Islands,Bikini Island (3I),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Ears,2.30E+01,1.40E+04,6.10E+02,Marshall Islands,Bikini Island (4A),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Ears,1.90E+01,1.90E+04,1.00E+03,Marshall Islands,Bikini Island (4D),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Ears,2.40E+01,1.20E+04,5.10E+02,Marshall Islands,Bikini Island (4F),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Ears,1.20E+01,8.10E+03,7.00E+02,Marshall Islands,Bikini Island (4I),Af,NU,F,0-40
Cs,Cs-137,Mizuna,Brassica campestris,Leaves,6.30E+01,5.40E+04,8.60E+02,Marshall Islands,Bikini Island (3B),Af,NU,F,0-20
Cs,Cs-137,Mizuna,Brassica campestris,Leaves,8.10E+01,5.20E+04,6.40E+02,Marshall Islands,Bikini Island (3C),Af,NU,F,0-20
Cs,Cs-137,Mizuna,Brassica campestris,Leaves,5.20E+01,7.30E+04,1.40E+03,Marshall Islands,Bikini Island (3F),Af,NU,F,0-20
Cs,Cs-137,Mizuna,Brassica campestris,Leaves,3.70E+01,5.80E+04,1.60E+03,Marshall Islands,Bikini Island (4B),Af,NU,F,0-20
Cs,Cs-137,Mizuna,Brassica campestris,Leaves,2.70E+01,5.90E+04,2.20E+03,Marshall Islands,Bikini Island (4E),Af,NU,F,0-20
Cs,Cs-137,Mizuna,Brassica campestris,Leaves,6.30E+01,6.90E+04,1.10E+03,Marshall Islands,Bikini Island (4G),Af,NU,F,0-20
Cs,Cs-137,Mizuna,Brassica campestris,Leaves,2.20E+01,6.20E+04,2.90E+03,Marshall Islands,Bikini Island (4J),Af,NU,F,0-20
Cs,Cs-137,Sorghum,Sorghum bicolor,Stovers,1.80E+01,1.50E+04,8.50E+02,Marshall Islands,Bikini Island (1A),Af,NU,F,0-40
Cs,Cs-137,Sorghum,Sorghum bicolor,Stovers,3.80E+01,5.00E+04,1.30E+03,Marshall Islands,Bikini Island (1D),Af,NU,F,0-40
Cs,Cs-137,Sorghum,Sorghum bicolor,Stovers,4.50E+01,2.30E+04,5.10E+02,Marshall Islands,Bikini Island (1H),Af,NU,F,0-40
Cs,Cs-137,Sorghum,Sorghum bicolor,Stovers,4.80E+01,5.70E+04,1.20E+03,Marshall Islands,Bikini Island (1J),Af,NU,F,0-40
Cs,Cs-137,Sorghum,Sorghum bicolor,Stovers,5.00E+01,1.40E+04,2.80E+02,Marshall Islands,Bikini Island (2B),Af,NU,F,0-40
Cs,Cs-137,Sorghum,Sorghum bicolor,Stovers,5.80E+01,2.20E+04,3.80E+02,Marshall Islands,Bikini Island (2C),Af,NU,F,0-40
Cs,Cs-137,Sorghum,Sorghum bicolor,Stovers,7.90E+01,3.30E+04,4.20E+02,Marshall Islands,Bikini Island (2I),Af,NU,F,0-40
Cs,Cs-137,Sorghum,Sorghum bicolor,Stovers,1.60E+01,1.30E+04,8.10E+02,Marshall Islands,Bikini Island (2L),Af,NU,F,0-40
Cs,Cs-137,"Leaf mustard, kai choy",Brassica juncea,Leaves,1.60E+01,4.10E+04,2.60E+03,Marshall Islands,Bikini Island (1C),Af,NU,F,0-20
Cs,Cs-137,"Leaf mustard, kai choy",Brassica juncea,Leaves,2.90E+01,3.20E+04,1.10E+03,Marshall Islands,Bikini Island (1E),Af,NU,F,0-20
Cs,Cs-137,"Leaf mustard, kai choy",Brassica juncea,Leaves,3.60E+01,6.10E+04,2.70E+03,Marshall Islands,Bikini Island (1I),Af,NU,F,0-20
Cs,Cs-137,"Leaf mustard, kai choy",Brassica juncea,Leaves,2.20E+01,3.70E+04,1.70E+03,Marshall Islands,Bikini Island (1L),Af,NU,F,0-20
Cs,Cs-137,"Leaf mustard, kai choy",Brassica juncea,Leaves,2.50E+01,2.80E+04,1.10E+03,Marshall Islands,Bikini Island (2A),Af,NU,F,0-20
Cs,Cs-137,"Leaf mustard, kai choy",Brassica juncea,Leaves,5.70E+01,5.10E+04,8.80E+02,Marshall Islands,Bikini Island (2D),Af,NU,F,0-20
Cs,Cs-137,"Leaf mustard, kai choy",Brassica juncea,Leaves,1.70E+01,2.40E+04,1.40E+03,Marshall Islands,Bikini Island (2G),Af,NU,F,0-20
Cs,Cs-137,"Leaf mustard, kai choy",Brassica juncea,Leaves,1.60E+01,2.90E+04,1.80E+03,Marshall Islands,Bikini Island (2K),Af,NU,F,0-20
Cs,Cs-137,Amaranth,Amaranth tricolor,Leaves,1.90E+01,2.90E+04,1.50E+03,Marshall Islands,Bikini Island (1B),Af,NU,F,0-20
Cs,Cs-137,Amaranth,Amaranth tricolor,Leaves,1.50E+01,4.10E+04,2.70E+03,Marshall Islands,Bikini Island (2F),Af,NU,F,0-20
Cs,Cs-137,Amaranth,Amaranth tricolor,Leaves,2.20E+01,2.90E+04,1.30E+03,Marshall Islands,Bikini Island (2H),Af,NU,F,0-20
Cs,Cs-137,Amaranth,Amaranth tricolor,Leaves,2.70E+01,3.50E+04,1.30E+03,Marshall Islands,Bikini Island (2J),Af,NU,F,0-20
Cs,Cs-137,Corn,Zea mays,Stovers,1.00E+01,8.60E+03,8.50E+02,Marshall Islands,Bikini Island (1A),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Stovers,1.20E+01,1.50E+04,1.30E+03,Marshall Islands,Bikini Island (1D),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Stovers,1.90E+01,9.70E+03,5.10E+02,Marshall Islands,Bikini Island (1H),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Stovers,3.70E+01,4.40E+04,1.20E+03,Marshall Islands,Bikini Island (1J),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Stovers,5.00E+01,1.90E+04,3.80E+02,Marshall Islands,Bikini Island (2C),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Stovers,2.10E+01,8.80E+03,4.20E+02,Marshall Islands,Bikini Island (2I),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Stovers,1.20E+01,1.00E+04,8.10E+02,Marshall Islands,Bikini Island (2L),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Stovers,3.80E+01,1.80E+04,4.70E+02,Marshall Islands,Bikini Island (3D),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Stovers,2.50E+01,1.20E+04,4.90E+02,Marshall Islands,Bikini Island (3E),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Stovers,2.60E+01,1.30E+04,5.00E+02,Marshall Islands,Bikini Island (3G),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Stovers,1.60E+01,1.50E+04,9.60E+02,Marshall Islands,Bikini Island (3I),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Stovers,3.70E+01,2.30E+04,6.10E+02,Marshall Islands,Bikini Island (4A),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Stovers,2.40E+01,2.40E+04,1.00E+03,Marshall Islands,Bikini Island (4D),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Stovers,2.00E+01,1.00E+04,5.10E+02,Marshall Islands,Bikini Island (4F),Af,NU,F,0-40
Cs,Cs-137,Corn,Zea mays,Stovers,2.00E+01,1.40E+04,7.00E+02,Marshall Islands,Bikini Island (4I),Af,NU,F,0-40
Cs,Cs-137,Amaranth,Amaranth tricolor,Leaves,2.50E+01,2.80E+04,1.10E+03,Marshall Islands,Bikini Island (3A),Af,NU,F,0-20
Cs,Cs-137,Amaranth,Amaranth tricolor,Leaves,1.80E+01,1.80E+04,1.00E+03,Marshall Islands,Bikini Island (3H),Af,NU,F,0-20
Cs,Cs-137,Amaranth,Amaranth tricolor,Leaves,2.90E+01,3.60E+04,3.60E+03,Marshall Islands,Bikini Island (3K),Af,NU,F,0-20
Cs,Cs-137,Amaranth,Amaranth tricolor,Leaves,2.30E+01,5.30E+04,2.30E+03,Marshall Islands,Bikini Island (3L),Af,NU,F,0-20
Cs,Cs-137,Amaranth,Amaranth tricolor,Leaves,1.20E+01,2.10E+04,1.80E+03,Marshall Islands,Bikini Island (4C),Af,NU,F,0-20
Cs,Cs-137,Amaranth,Amaranth tricolor,Leaves,1.40E+01,2.10E+04,1.50E+03,Marshall Islands,Bikini Island (4H),Af,NU,F,0-20
Cs,Cs-137,Amaranth,Amaranth tricolor,Leaves,2.00E+01,3.20E+04,1.60E+03,Marshall Islands,Bikini Island (4K),Af,NU,F,0-20
Cs,Cs-137,Amaranth,Amaranth tricolor,Leaves,2.50E+01,3.80E+04,1.50E+03,Marshall Islands,Bikini Island (4L),Af,NU,F,0-20
Cs,Cs-137,Bhindi,Abelmoschus esculentus,Fruits,7.40E-03,2.30E-02,3.10E+00,India,"Tarapur (S14), Palghar District, Maharashtra State",Am,NU,F,0-20
Cs,Cs-137,Bhindi,Abelmoschus esculentus,Fruits,9.60E-03,9.00E-03,9.70E-01,India,"Tarapur (S3), Palghar District, Maharashtra State",Am,NU,F,0-20
Cs,Cs-137,Gavar,Cyamopsis tetragonoloba,Beans,8.40E-03,2.60E-02,3.10E+00,India,"Tarapur (S20), Palghar District, Maharashtra State",Am,NU,F,0-20
Cs,Cs-137,Karela,Momordica charantia,Fruits,7.10E-03,2.00E-02,2.80E+00,India,"Tarapur (S11), Palghar District, Maharashtra State",Am,NU,F,0-20
Cs,Cs-137,Tendli,Coccinia grandis,Fruits,8.30E-03,1.20E-02,1.40E+00,India,"Tarapur (S10), Palghar District, Maharashtra State",Am,NU,F,0-20
Cs,Cs-137,Bhopala,Cucurbita,Fruits,2.80E-03,9.00E-03,3.10E+00,India,"Tarapur (S2), Palghar District, Maharashtra State",Am,NU,F,0-20
K,K-40,Bhindi,Abelmoschus esculentus,Fruits,4.00E-01,8.20E+01,2.00E+02,India,"Tarapur (S2), Palghar District, Maharashtra State",Am,N,F,0-20
K,K-40,Bhindi,Abelmoschus esculentus,Fruits,3.70E-01,6.60E+01,1.80E+02,India,"Tarapur (S14), Palghar District, Maharashtra State",Am,N,F,0-20
K,K-40,Bhindi,Abelmoschus esculentus,Fruits,4.30E-01,8.00E+01,1.90E+02,India,"Tarapur (S2), Palghar District, Maharashtra State",Am,N,F,0-20
K,K-40,Bhindi,Abelmoschus esculentus,Fruits,3.30E-01,8.30E+01,2.50E+02,India,"Tarapur (S3), Palghar District, Maharashtra State",Am,N,F,0-20
K,K-40,Dudhi,Lagenaria siceraria,Fruits,3.50E-01,6.10E+01,1.80E+02,India,"Tarapur (S6), Palghar District, Maharashtra State",Am,N,F,0-20
